date,facility_id,service_level,parcel_volume,weather_severity,promotion_index,holiday_flag,day_of_week,opening_backlog
2024-01-01,NORTH-01,standard,7903,0.217,0.067,1,0,529
2024-01-01,NORTH-01,priority,7190,0.0,0.046,1,0,357
2024-01-01,NORTH-01,economy,6771,0.178,0.082,1,0,476
2024-01-01,NORTH-02,standard,8457,0.188,0.24,1,0,330
2024-01-01,NORTH-02,priority,7768,0.224,0.073,1,0,407
2024-01-01,NORTH-02,economy,7380,0.158,0.096,1,0,382
2024-01-01,CENTRAL-01,standard,8820,0.129,0.122,1,0,488
2024-01-01,CENTRAL-01,priority,8863,0.23,0.184,1,0,397
2024-01-01,CENTRAL-01,economy,7578,0.119,0.085,1,0,542
2024-01-01,SOUTH-01,standard,8597,0.166,0.083,1,0,515
2024-01-01,SOUTH-01,priority,8090,0.269,0.193,1,0,450
2024-01-01,SOUTH-01,economy,8150,0.194,0.167,1,0,451
2024-01-01,SOUTH-02,standard,9500,0.261,0.155,1,0,540
2024-01-01,SOUTH-02,priority,8753,0.005,0.124,1,0,365
2024-01-01,SOUTH-02,economy,8021,0.147,0.27,1,0,536
2024-01-01,WEST-01,standard,10072,0.0,0.123,1,0,552
2024-01-01,WEST-01,priority,9111,0.265,0.213,1,0,397
2024-01-01,WEST-01,economy,7987,0.283,0.135,1,0,283
2024-01-02,NORTH-01,standard,6335,0.07,0.19,0,1,452
2024-01-02,NORTH-01,priority,5831,0.129,0.163,0,1,317
2024-01-02,NORTH-01,economy,4618,0.235,0.097,0,1,272
2024-01-02,NORTH-02,standard,6537,0.036,0.189,0,1,377
2024-01-02,NORTH-02,priority,6209,0.238,0.186,0,1,354
2024-01-02,NORTH-02,economy,4645,0.129,0.144,0,1,145
2024-01-02,CENTRAL-01,standard,7197,0.021,0.07,0,1,287
2024-01-02,CENTRAL-01,priority,6388,0.135,0.254,0,1,460
2024-01-02,CENTRAL-01,economy,5428,0.068,0.134,0,1,302
2024-01-02,SOUTH-01,standard,7335,0.281,0.012,0,1,428
2024-01-02,SOUTH-01,priority,6746,0.109,0.034,0,1,318
2024-01-02,SOUTH-01,economy,6826,0.208,0.152,0,1,356
2024-01-02,SOUTH-02,standard,8067,0.057,0.164,0,1,585
2024-01-02,SOUTH-02,priority,7786,0.28,0.179,0,1,270
2024-01-02,SOUTH-02,economy,6419,0.103,0.076,0,1,207
2024-01-02,WEST-01,standard,7568,0.256,0.132,0,1,285
2024-01-02,WEST-01,priority,8545,0.218,0.217,0,1,786
2024-01-02,WEST-01,economy,5997,0.23,0.071,0,1,392
2024-01-03,NORTH-01,standard,5017,0.082,0.117,0,2,313
2024-01-03,NORTH-01,priority,4442,0.308,0.163,0,2,188
2024-01-03,NORTH-01,economy,4079,0.0,0.111,0,2,514
2024-01-03,NORTH-02,standard,5532,0.196,0.229,0,2,203
2024-01-03,NORTH-02,priority,5963,0.064,0.092,0,2,260
2024-01-03,NORTH-02,economy,4628,0.281,0.078,0,2,365
2024-01-03,CENTRAL-01,standard,5826,0.161,0.147,0,2,408
2024-01-03,CENTRAL-01,priority,4858,0.125,0.052,0,2,346
2024-01-03,CENTRAL-01,economy,4643,0.369,0.163,0,2,353
2024-01-03,SOUTH-01,standard,6226,0.337,0.168,0,2,499
2024-01-03,SOUTH-01,priority,6082,0.231,0.273,0,2,215
2024-01-03,SOUTH-01,economy,6315,0.016,0.282,0,2,347
2024-01-03,SOUTH-02,standard,6670,0.134,0.267,0,2,272
2024-01-03,SOUTH-02,priority,6217,0.257,0.118,0,2,346
2024-01-03,SOUTH-02,economy,5850,0.221,0.263,0,2,432
2024-01-03,WEST-01,standard,7181,0.0,0.146,0,2,249
2024-01-03,WEST-01,priority,7204,0.075,0.123,0,2,236
2024-01-03,WEST-01,economy,5948,0.184,0.111,0,2,478
2024-01-04,NORTH-01,standard,5240,0.245,0.257,0,3,253
2024-01-04,NORTH-01,priority,4732,0.153,0.169,0,3,191
2024-01-04,NORTH-01,economy,5060,0.191,0.168,0,3,557
2024-01-04,NORTH-02,standard,5108,0.078,0.127,0,3,262
2024-01-04,NORTH-02,priority,4819,0.218,0.246,0,3,246
2024-01-04,NORTH-02,economy,4119,0.0,0.137,0,3,240
2024-01-04,CENTRAL-01,standard,5436,0.075,0.142,0,3,167
2024-01-04,CENTRAL-01,priority,4650,0.436,0.047,0,3,539
2024-01-04,CENTRAL-01,economy,4264,0.529,0.056,0,3,348
2024-01-04,SOUTH-01,standard,6131,0.387,0.071,0,3,457
2024-01-04,SOUTH-01,priority,5758,0.232,0.12,0,3,187
2024-01-04,SOUTH-01,economy,5376,0.151,0.129,0,3,274
2024-01-04,SOUTH-02,standard,7065,0.237,0.231,0,3,434
2024-01-04,SOUTH-02,priority,6020,0.186,0.15,0,3,398
2024-01-04,SOUTH-02,economy,6590,0.168,0.317,0,3,424
2024-01-04,WEST-01,standard,7851,0.088,0.061,0,3,447
2024-01-04,WEST-01,priority,6922,0.238,0.01,0,3,442
2024-01-04,WEST-01,economy,6323,0.047,0.112,0,3,375
2024-01-05,NORTH-01,standard,5146,0.145,0.142,0,4,352
2024-01-05,NORTH-01,priority,4165,0.357,0.0,0,4,326
2024-01-05,NORTH-01,economy,3184,0.216,0.12,0,4,314
2024-01-05,NORTH-02,standard,5683,0.387,0.027,0,4,311
2024-01-05,NORTH-02,priority,4801,0.173,0.066,0,4,480
2024-01-05,NORTH-02,economy,5025,0.25,0.289,0,4,383
2024-01-05,CENTRAL-01,standard,6294,0.389,0.185,0,4,333
2024-01-05,CENTRAL-01,priority,5809,0.188,0.094,0,4,212
2024-01-05,CENTRAL-01,economy,5239,0.274,0.135,0,4,427
2024-01-05,SOUTH-01,standard,5737,0.398,0.208,0,4,344
2024-01-05,SOUTH-01,priority,6610,0.039,0.109,0,4,454
2024-01-05,SOUTH-01,economy,5268,0.096,0.069,0,4,192
2024-01-05,SOUTH-02,standard,7540,0.099,0.175,0,4,479
2024-01-05,SOUTH-02,priority,6553,0.0,0.174,0,4,426
2024-01-05,SOUTH-02,economy,5100,0.374,0.0,0,4,403
2024-01-05,WEST-01,standard,7845,0.0,0.268,0,4,516
2024-01-05,WEST-01,priority,7352,0.111,0.215,0,4,428
2024-01-05,WEST-01,economy,5780,0.208,0.172,0,4,335
2024-01-06,NORTH-01,standard,5707,0.162,0.181,0,5,224
2024-01-06,NORTH-01,priority,4461,0.165,0.269,0,5,215
2024-01-06,NORTH-01,economy,4059,0.204,0.218,0,5,461
2024-01-06,NORTH-02,standard,5886,0.283,0.217,0,5,635
2024-01-06,NORTH-02,priority,5550,0.155,0.0,0,5,291
2024-01-06,NORTH-02,economy,3868,0.193,0.255,0,5,145
